YEAR;cod_distrito;distrito;categoría_1;indicador_nivel1;indicador_nivel2;valor_indicador
2019;13;Puente de Vallecas;Resultados Elecciones Locales;Número de votos;Ciudadanos;12082
2019;13;Puente de Vallecas;Resultados Elecciones Locales;Número de votos;Partido Socialista Obrero Español;22726
2019;13;Puente de Vallecas;Resultados Elecciones Locales;Número de votos;VOX;5061
2023;13;Puente de Vallecas;Resultados Elecciones Locales;Número de votos;Censo;162009
2023;13;Puente de Vallecas;Resultados Elecciones Locales;Número de votos;Ciudadanos;1506
2023;13;Puente de Vallecas;Resultados Elecciones Locales;Número de votos;Más Madrid;24472
2023;13;Puente de Vallecas;Resultados Elecciones Locales;Número de votos;Partido Popular;25289
2023;13;Puente de Vallecas;Resultados Elecciones Locales;Número de votos;Partido Socialista Obrero Español;25112
2023;13;Puente de Vallecas;Resultados Elecciones Locales;Número de votos;Podemos-Izquierda Unida-Alianza Verde;8491
2023;13;Puente de Vallecas;Resultados Elecciones Locales;Número de votos;VOX;7454
2019;14;Moratalaz;Resultados Elecciones Locales;Número de votos;Censo;75149
2019;14;Moratalaz;Resultados Elecciones Locales;Número de votos;Más Madrid;17134
2019;14;Moratalaz;Resultados Elecciones Locales;Número de votos;Partido Popular;11994
2019;14;Moratalaz;Resultados Elecciones Locales;Número de votos;Ciudadanos;9104
2019;14;Moratalaz;Resultados Elecciones Locales;Número de votos;Partido Socialista Obrero Español;8119
2019;14;Moratalaz;Resultados Elecciones Locales;Número de votos;VOX;3316
2023;14;Moratalaz;Resultados Elecciones Locales;Número de votos;Censo;72381
2023;14;Moratalaz;Resultados Elecciones Locales;Número de votos;Ciudadanos;1332
2023;14;Moratalaz;Resultados Elecciones Locales;Número de votos;Más Madrid;9967
2023;14;Moratalaz;Resultados Elecciones Locales;Número de votos;Partido Popular;20419
2023;14;Moratalaz;Resultados Elecciones Locales;Número de votos;Partido Socialista Obrero Español;10033
2023;14;Moratalaz;Resultados Elecciones Locales;Número de votos;Podemos-Izquierda Unida-Alianza Verde;2807
2023;14;Moratalaz;Resultados Elecciones Locales;Número de votos;VOX;4032
2019;15;Ciudad Lineal;Resultados Elecciones Locales;Número de votos;Censo;161562
2019;15;Ciudad Lineal;Resultados Elecciones Locales;Número de votos;Más Madrid;31072
2019;15;Ciudad Lineal;Resultados Elecciones Locales;Número de votos;Partido Popular;28341
2019;15;Ciudad Lineal;Resultados Elecciones Locales;Número de votos;Ciudadanos;21710
2019;15;Ciudad Lineal;Resultados Elecciones Locales;Número de votos;Partido Socialista Obrero Español;15006
2019;15;Ciudad Lineal;Resultados Elecciones Locales;Número de votos;VOX;8142
2023;15;Ciudad Lineal;Resultados Elecciones Locales;Número de votos;Censo;160964
2023;15;Ciudad Lineal;Resultados Elecciones Locales;Número de votos;Ciudadanos;3425
2023;15;Ciudad Lineal;Resultados Elecciones Locales;Número de votos;Más Madrid;18479
2023;15;Ciudad Lineal;Resultados Elecciones Locales;Número de votos;Partido Popular;51315
2023;15;Ciudad Lineal;Resultados Elecciones Locales;Número de votos;Partido Socialista Obrero Español;18504
2023;15;Ciudad Lineal;Resultados Elecciones Locales;Número de votos;Podemos-Izquierda Unida-Alianza Verde;5017
2023;15;Ciudad Lineal;Resultados Elecciones Locales;Número de votos;VOX;9882
2019;16;Hortaleza;Resultados Elecciones Locales;Número de votos;Censo;138606
2019;16;Hortaleza;Resultados Elecciones Locales;Número de votos;Más Madrid;26202
2019;16;Hortaleza;Resultados Elecciones Locales;Número de votos;Partido Popular;23956
2019;16;Hortaleza;Resultados Elecciones Locales;Número de votos;Ciudadanos;24849
2019;16;Hortaleza;Resultados Elecciones Locales;Número de votos;Partido Socialista Obrero Español;12633
2019;16;Hortaleza;Resultados Elecciones Locales;Número de votos;VOX;8315
2023;16;Hortaleza;Resultados Elecciones Locales;Número de votos;Censo;142990
2023;16;Hortaleza;Resultados Elecciones Locales;Número de votos;Ciudadanos;3739
2023;16;Hortaleza;Resultados Elecciones Locales;Número de votos;Más Madrid;15647
2023;16;Hortaleza;Resultados Elecciones Locales;Número de votos;Partido Popular;53525
2023;16;Hortaleza;Resultados Elecciones Locales;Número de votos;Partido Socialista Obrero Español;15306
2023;16;Hortaleza;Resultados Elecciones Locales;Número de votos;Podemos-Izquierda Unida-Alianza Verde;3558
2023;16;Hortaleza;Resultados Elecciones Locales;Número de votos;VOX;9953
2019;17;Villaverde;Resultados Elecciones Locales;Número de votos;Censo;98996
2019;17;Villaverde;Resultados Elecciones Locales;Número de votos;Más Madrid;20050
2019;17;Villaverde;Resultados Elecciones Locales;Número de votos;Partido Popular;9123
2019;17;Villaverde;Resultados Elecciones Locales;Número de votos;Ciudadanos;9023
2019;17;Villaverde;Resultados Elecciones Locales;Número de votos;Partido Socialista Obrero Español;13968
2019;17;Villaverde;Resultados Elecciones Locales;Número de votos;VOX;3898
2023;17;Villaverde;Resultados Elecciones Locales;Número de votos;Censo;101377
2023;17;Villaverde;Resultados Elecciones Locales;Número de votos;Ciudadanos;1273
2023;17;Villaverde;Resultados Elecciones Locales;Número de votos;Más Madrid;13821
2023;17;Villaverde;Resultados Elecciones Locales;Número de votos;Partido Popular;19409
2023;17;Villaverde;Resultados Elecciones Locales;Número de votos;Partido Socialista Obrero Español;15444
2023;17;Villaverde;Resultados Elecciones Locales;Número de votos;Podemos-Izquierda Unida-Alianza Verde;3546
2023;17;Villaverde;Resultados Elecciones Locales;Número de votos;VOX;5327
2019;18;Villa de Vallecas;Resultados Elecciones Locales;Número de votos;Censo;77371
2019;18;Villa de Vallecas;Resultados Elecciones Locales;Número de votos;Más Madrid;19896
2019;18;Villa de Vallecas;Resultados Elecciones Locales;Número de votos;Partido Popular;6265
2019;18;Villa de Vallecas;Resultados Elecciones Locales;Número de votos;Ciudadanos;9496
2019;18;Villa de Vallecas;Resultados Elecciones Locales;Número de votos;Partido Socialista Obrero Español;8623
2019;18;Villa de Vallecas;Resultados Elecciones Locales;Número de votos;VOX;3267
2023;18;Villa de Vallecas;Resultados Elecciones Locales;Número de votos;Censo;79736
2023;18;Villa de Vallecas;Resultados Elecciones Locales;Número de votos;Ciudadanos;1383
2023;18;Villa de Vallecas;Resultados Elecciones Locales;Número de votos;Más Madrid;13283
2023;18;Villa de Vallecas;Resultados Elecciones Locales;Número de votos;Partido Popular;17625
2023;18;Villa de Vallecas;Resultados Elecciones Locales;Número de votos;Partido Socialista Obrero Español;10804
2023;18;Villa de Vallecas;Resultados Elecciones Locales;Número de votos;Podemos-Izquierda Unida-Alianza Verde;3276
2023;18;Villa de Vallecas;Resultados Elecciones Locales;Número de votos;VOX;4551
2019;19;Vicálvaro;Resultados Elecciones Locales;Número de votos;Censo;50813
2019;19;Vicálvaro;Resultados Elecciones Locales;Número de votos;Más Madrid;12585
2019;19;Vicálvaro;Resultados Elecciones Locales;Número de votos;Partido Popular;4722
2019;19;Vicálvaro;Resultados Elecciones Locales;Número de votos;Ciudadanos;6611
2019;19;Vicálvaro;Resultados Elecciones Locales;Número de votos;Partido Socialista Obrero Español;6374
2019;19;Vicálvaro;Resultados Elecciones Locales;Número de votos;VOX;2200
2023;19;Vicálvaro;Resultados Elecciones Locales;Número de votos;Censo;58798
2023;19;Vicálvaro;Resultados Elecciones Locales;Número de votos;Ciudadanos;1364
2023;19;Vicálvaro;Resultados Elecciones Locales;Número de votos;Más Madrid;9577
2023;19;Vicálvaro;Resultados Elecciones Locales;Número de votos;Partido Popular;14722
2023;19;Vicálvaro;Resultados Elecciones Locales;Número de votos;Partido Socialista Obrero Español;8199
2023;19;Vicálvaro;Resultados Elecciones Locales;Número de votos;Podemos-Izquierda Unida-Alianza Verde;2114
2023;19;Vicálvaro;Resultados Elecciones Locales;Número de votos;VOX;3446
2019;20;San Blas-Canillejas;Resultados Elecciones Locales;Número de votos;Censo;115712
2019;20;San Blas-Canillejas;Resultados Elecciones Locales;Número de votos;Más Madrid;25109
2019;20;San Blas-Canillejas;Resultados Elecciones Locales;Número de votos;Partido Popular;13339
2019;20;San Blas-Canillejas;Resultados Elecciones Locales;Número de votos;Ciudadanos;15543
2019;20;San Blas-Canillejas;Resultados Elecciones Locales;Número de votos;Partido Socialista Obrero Español;13213
2019;20;San Blas-Canillejas;Resultados Elecciones Locales;Número de votos;VOX;5311
2023;20;San Blas-Canillejas;Resultados Elecciones Locales;Número de votos;Censo;115873
2023;20;San Blas-Canillejas;Resultados Elecciones Locales;Número de votos;Ciudadanos;2246
2023;20;San Blas-Canillejas;Resultados Elecciones Locales;Número de votos;Más Madrid;14885
2023;20;San Blas-Canillejas;Resultados Elecciones Locales;Número de votos;Partido Popular;31380
2023;20;San Blas-Canillejas;Resultados Elecciones Locales;Número de votos;Partido Socialista Obrero Español;15470
2023;20;San Blas-Canillejas;Resultados Elecciones Locales;Número de votos;Podemos-Izquierda Unida-Alianza Verde;4010
2023;20;San Blas-Canillejas;Resultados Elecciones Locales;Número de votos;VOX;6892
2019;21;Barajas;Resultados Elecciones Locales;Número de votos;Censo;35916
2019;21;Barajas;Resultados Elecciones Locales;Número de votos;Más Madrid;7411
2019;21;Barajas;Resultados Elecciones Locales;Número de votos;Partido Popular;5954
2019;21;Barajas;Resultados Elecciones Locales;Número de votos;Ciudadanos;6656
2019;21;Barajas;Resultados Elecciones Locales;Número de votos;Partido Socialista Obrero Español;3124
2019;21;Barajas;Resultados Elecciones Locales;Número de votos;VOX;2256
2023;21;Barajas;Resultados Elecciones Locales;Número de votos;Censo;35989
2023;21;Barajas;Resultados Elecciones Locales;Número de votos;Ciudadanos;1016
2023;21;Barajas;Resultados Elecciones Locales;Número de votos;Más Madrid;4105
2023;21;Barajas;Resultados Elecciones Locales;Número de votos;Partido Popular;13090
2023;21;Barajas;Resultados Elecciones Locales;Número de votos;Partido Socialista Obrero Español;3987
2023;21;Barajas;Resultados Elecciones Locales;Número de votos;Podemos-Izquierda Unida-Alianza Verde;947
2023;21;Barajas;Resultados Elecciones Locales;Número de votos;VOX;2498
